"Timestamp","1) If you are below the age of 18, do you have parental consent to participating in this survey? ","2) What's your current level of study? ","What part of New York do you reside in? ","Please state your gender.","Please choose the ethnicity that most appropriately describes you.","How often do you use technology for fun? ","Has your use of technology for fun increased or decreased due to COVID? ","How do you spend time on the internet for fun? ","Why do you use social media? ","Do you ever feel any, or more of the following: ","What do you turn to when you experience the issues stated in the previous question? ","Do you agree with any of the following negative effects of technology? ","Do you agree with any of the following positive effects of technology?","How long do you use technology for academic purposes every day?","How productive would you rate yourself?","Has your productivity increased or decreased due to COVID?","How do you use the internet for academic purposes?","How do your parents feel about the change in your use of technology for academic purposes from pre-Covid to present? ","How often do you use technology to check the news?","Where do you get your news from?","What fake news/inaccurate resources have you been exposed to on the internet during the pandemic?","What are a few online services or examples that you trust/use to obtain covid information from?"
"2021/05/25 9:53:19 PM AST","Yes","10th grade","Queens","Female","South-East Asian (India, Bangladesh, etc.)","About 1-3 hours a day","Increased","Social Medias;Streaming Services","To converse with my friends and family;To get updates on the lives of my friends and family;To be updated on current events and world issues;For academic purposes","I feel stressed;I feel lonely;I am worried about school;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime;I'm worried about what I consume;I'm constantly unmotivated or feeling down","Social Media;Texting My Friends;Listening to music;Watching TV","Bullying/rumor spread;harms relationships/ lack of in-person contact;unrealistic views;causes distractions/addictions;peer pressure;causes mental health issues;Drama, in general;Spread of fake news/ misinformation","connecting with friends/family;easier to find news/info;Meeting others with same interests;Keeps you entertained/upbe;self-expression;learning new things","10-12 hours","3","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;News Articles;Youtube Lecture Videos;Wikipedia","They feel I use technology more than I should/ more than I did before","Once a week","Social Medias","N/a","N/a"
"2021/05/25 9:53:31 PM AST","Yes","10th grade","Brooklyn","Non-Binary","European","About 4-8 hours a day","Increased","Social Medias;Messaging Services;Gaming Services;Reading Services","To converse with my friends and family;To make new friends;To be updated on current events and world issues;For academic purposes","I feel stressed;I feel lonely;I am worried about school;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime;I'm worried about what I consume;I'm constantly unmotivated or feeling down","Social Media;Texting My Friends;Listening to music;Watching TV;Homework/ School;Reading","Bullying/rumor spread;harms relationships/ lack of in-person contact;peer pressure","learning new things","10-12 hours","7","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;News Articles;Documentaries;Reading Research Articles","They feel I use technology more than I should/ more than I did before","Every other day","News Channels","That the vaccine would cause more bad then good ","https://dmh.mo.gov/  i guess "
"2021/05/25 10:38:34 PM AST","Yes","9th grade","Queens","Female","European;South-East Asian (India, Bangladesh, etc.)","About 1-3 hours a day","About the same","Social Medias","To converse with my friends and family;To get updates on the lives of my friends and family;To be updated on current events and world issues","I feel stressed;I'm worried about getting COVID;I'm worried about what I consume","Texting My Friends;Listening to music;Homework/ School","Bullying/rumor spread;harms relationships/ lack of in-person contact;causes distractions/addictions;peer pressure;causes mental health issues;Drama, in general;Spread of fake news/ misinformation","connecting with friends/family;easier to find news/info;Keeps you entertained/upbe;self-expression;getting support from others;learning new things","1-2 hours","7","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments","They feel I use technology more than I should/ more than I did before","About every day","News app on the phone ","Not sure ","NYCHD, NEW YORK CITY HEALTH DEPARTMENT "
"2021/05/25 11:04:10 PM AST","No","10th grade","Queens","Female","Black or African American;Middle Eastern (Morocco, Egypt, etc.)","Probably more than 8 hours a day. ","Increased","Social Medias;Gaming Services","To make new friends;To get the latest news on celebrities;To be updated on current events and world issues;For academic purposes","I feel stressed;I am worried about my family/ friends/ overseas family;I am worried about school;I'm often sleepy/tired during the daytime;I'm constantly unmotivated or feeling down","Social Media;Texting My Friends;Listening to music;Watching TV;Homework/ School","unrealistic views;causes distractions/addictions;causes mental health issues","easier to find news/info;Meeting others with same interests;learning new things","10-12 hours","6","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Lecture Videos;Documentaries;Wikipedia;Reading Research Articles","Neutral","About every day","Social Medias","I've seen a few posts about the conflict happening in Israel on tiktok, but the facts were incorrect, some of the posts weren't taken down and some tagged the video and made a new video about the actual correct information. ","The news, New York Times or CNN. "
"2021/05/25 11:21:35 PM AST","I am 18+","Undergraduate Student (1st Year)","Queens","Female","Other Asian or pacific islander (Chinese, Korean, Filipino, etc.)","About 4-8 hours a day","Increased","Social Medias;Streaming Services;Messaging Services;Reading Services","To converse with my friends and family;To make new friends;To get updates on the lives of my friends and family;To be updated on current events and world issues;For academic purposes","I feel stressed;I am worried about school;I'm constantly unmotivated or feeling down","Social Media;Listening to music;Watching TV;Homework/ School","peer pressure;causes mental health issues;Spread of fake news/ misinformation","connecting with friends/family;Meeting others with same interests;Keeps you entertained/upbe","3-9 hours","7","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;News Articles;Youtube Lecture Videos;Documentaries;Reading Research Articles","Neutral","About every day","News Channels","N/A","N/A"
"2021/05/25 11:36:59 PM AST","Yes","10th grade","Queens","Male","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","Decreased","Social Medias;Streaming Services;Messaging Services;Gaming Services;Reading Services","To converse with my friends and family;To get updates on the lives of my friends and family;To get the latest news on celebrities;To be updated on current events and world issues","I'm worried about getting COVID;I am worried about my family/ friends/ overseas family;I am worried about school;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime;I'm worried about what I consume","Texting My Friends;consulting trusted adult;Talking to my parents;Listening to music","causes distractions/addictions;peer pressure;Spread of fake news/ misinformation","connecting with friends/family;easier to find news/info;Meeting others with same interests;Keeps you entertained/upbe;self-expression;getting support from others;learning new things","3-9 hours","3","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Documentaries;Reading Research Articles","They feel I use technology more than I should/ more than I did before","About every day","Social Medias","I saw that Iran was saying they are the ones being attacked and dishonered.","ABC News"
"2021/05/26 12:10:45 AM AST","Yes","9th grade","Queens","Female","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","Increased","Social Medias;Streaming Services;Messaging Services;Gaming Services;Reading Services","To converse with my friends and family;To make new friends;To get updates on the lives of my friends and family","I feel stressed;I feel lonely;I am worried about school;I'm often sleepy/tired during the daytime;I'm constantly unmotivated or feeling down","Social Media;Texting My Friends;Listening to music;Watching TV","unrealistic views;causes distractions/addictions","connecting with friends/family;Meeting others with same interests;Keeps you entertained/upbe","3-9 hours","6","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Lecture Videos","Neutral","i don’t really watch/check news","Social Medias","not sure ","CNN"
"2021/05/26 1:08:55 AM AST","Yes","11th grade","Queens","Female","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","Increased","Social Medias;Messaging Services;Gaming Services","To converse with my friends and family;To get updates on the lives of my friends and family;To be updated on current events and world issues;For academic purposes","I feel stressed;I feel lonely;I am worried about school;I'm often sleepy/tired during the daytime;I'm constantly unmotivated or feeling down","Social Media;Texting My Friends","causes distractions/addictions;Spread of fake news/ misinformation","connecting with friends/family;easier to find news/info;self-expression","3-9 hours","6","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Lecture Videos;Reading Research Articles","Neutral","About every day","Social Medias","During the early stages of covid I read that masks don’t work but it was proven to be false as time went on. ","There are a few certain instagram accounts that I know do their research before posting. "
"2021/05/26 2:15:21 PM AST","Yes","10th grade","Queens","Female","South-East Asian (India, Bangladesh, etc.)","About 1-3 hours a day","Increased","Social Medias;Messaging Services;Gaming Services;Reading Services","To converse with my friends and family;To get updates on the lives of my friends and family;To get the latest news on celebrities;To be updated on current events and world issues","I feel stressed;I am worried about my family/ friends/ overseas family;I am worried about school;I'm often sleepy/tired during the daytime;I'm constantly unmotivated or feeling down","Texting My Friends;Talking to my parents;Listening to music;Homework/ School;Reading","Bullying/rumor spread;unrealistic views;Spread of fake news/ misinformation","connecting with friends/family;easier to find news/info;Keeps you entertained/upbe","3-9 hours","8","Increase","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;News Articles;Youtube Lecture Videos;Reading Research Articles","Neutral","About every day","Social Medias","Social media has taken it upon themselves to censor certain topics, allowing for gaps of information to be portrayed. For example, on TikTok, videos with the words Palestine and Israel are often taken down or flagged. ","New York TImes, CDC, CNN"
"2021/05/26 2:32:41 PM AST","Yes","9th grade","Brooklyn","Female","White American","About 4-8 hours a day","Increased","Social Medias","To converse with my friends and family;To make new friends","I feel stressed;I am worried about school;I'm often sleepy/tired during the daytime;I'm worried about what I consume;I'm constantly unmotivated or feeling down","Social Media;Texting My Friends;Listening to music;Watching TV;Clubs/ Extracurricular Activites","Bullying/rumor spread;unrealistic views;Drama, in general","connecting with friends/family;Meeting others with same interests;self-expression","3-9 hours","8","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments","Positive","Every other day","Social Medias","Incorrect news in regards to what is happening in other countries.","State webpages and state news sites"
"2021/05/26 2:51:58 PM AST","Yes","11th grade","Manhattan","Female","White American","About 4-8 hours a day","Increased","Social Medias;Streaming Services;Gaming Services","To converse with my friends and family;To make new friends;To get the latest news on celebrities","I feel lonely;I'm often sleepy/tired during the daytime;I'm constantly unmotivated or feeling down","Social Media;Texting My Friends;Listening to music;Watching TV","unrealistic views;causes mental health issues;Spread of fake news/ misinformation","connecting with friends/family;Meeting others with same interests;self-expression","1-2 hours","3","Decrease","General school assignments;Wikipedia","Neutral","Once a week","Social Medias","false news about getting vaccines and not having to wear masks","twitter posts with sources/ government websites"
"2021/05/27 9:56:47 PM AST","Yes","10th grade","Queens","Female","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","Increased","Social Medias;Streaming Services;Messaging Services","To converse with my friends and family;To make new friends;To get updates on the lives of my friends and family;To get the latest news on celebrities;To be updated on current events and world issues","I am worried about my family/ friends/ overseas family;I am worried about school;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime;I'm constantly unmotivated or feeling down","Social Media;Texting My Friends;Listening to music;Watching TV;Clubs/ Extracurricular Activites","unrealistic views;causes mental health issues;Spread of fake news/ misinformation","connecting with friends/family;easier to find news/info;Keeps you entertained/upbe","3-9 hours","5","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Wikipedia;Reading Research Articles","They feel I use technology more than I should/ more than I did before","About every day","Social Medias","Recently with everything happening in Palestine, there has been a lot of misinformation posted on social media by people to create bias and spread lies about a human rights crisis.","The CDC, instagram fact checks info and news as well"
"2021/05/30 12:33:30 PM AST","Yes","10th grade","Queens","Female","South-East Asian (India, Bangladesh, etc.)","About 1-3 hours a day","Decreased","Social Medias;Streaming Services;Messaging Services","To converse with my friends and family;To get updates on the lives of my friends and family;To get the latest news on celebrities;For academic purposes","I feel stressed;I'm worried about getting COVID;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime","Listening to music;Watching TV;Clubs/ Extracurricular Activites","Bullying/rumor spread;unrealistic views;Drama, in general","connecting with friends/family;Keeps you entertained/upbe;getting support from others","10-12 hours","10","Increase","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Reading Research Articles;Virtual Contests/ competitions/ hackathons","Positive","Once a week","Social Medias","A lot of fake side effects to the vaccine. Many say you gain a lot of weight from getting the vaccine, other's say it makes you prettier. It's all just myths, I believe.","Mainly New York Times or CNN."
"2021/06/10 9:25:11 AM AST","Yes","8th grade","Queens","Female","Hispanic or Latino;European","I dont calculate the amount of time but I use it pretty much almost all day","Decreased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Gaming Services (video games, Ps4, Xbox, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To look at memes 0w0","I don't feel any of these.","I don't experience any of the issues stated in the previous question","Spread of fake news/ misinformation","Meeting others with same interests;Keeps you entertained/upbe;self-expression","10-12 hours","4","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Videos;Documentaries;Wikipedia;Reading Research Articles","I don't know","I dont check/watch the news so none","I don't check the news","I haven't really been exposed to any fake news. ","I don't trust nor do I look up any cites with covid information."
"2021/06/10 9:25:30 AM AST","Yes","8th grade","Queens","Female","Hispanic or Latino","About 1-3 hours a day","Decreased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.)","To converse with my friends and family;To be updated on current events and world issues","I don't feel any of these.","I don't experience any of the issues stated in the previous question","N/A","connecting with friends/family;easier to find news/info;Keeps you entertained/upbe;self-expression","3-9 hours","10","Increase","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments","Neutral","About every day","News Channels","N/A","N/A"
"2021/06/10 9:25:45 AM AST","Yes","8th grade","Queens","Female","White American","About 1-3 hours a day","About the same","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.)","To converse with my friends and family;To get updates on the lives of my friends and family;To be updated on current events and world issues","I don't feel any of these.","Texting My Friends;Talking to my parents;Workout/ exercise","Bullying/rumor spread;causes distractions/addictions;Spread of fake news/ misinformation","connecting with friends/family;easier to find news/info;learning new things","3-9 hours","8","Increase","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;News Articles;Youtube Videos;Documentaries;Wikipedia;Virtual Libraries;Reading Research Articles;Virtual Contests/ competitions/ hackathons","They feel I use technology more than I should/ more than I did before","Every other day","From friends and family","I can't think of anything specific right now, but I've definitely been exposed to fake news during the pandemic. ","The cdc, president Biden. "
"2021/06/10 9:26:37 AM AST","Yes","8th grade","Queens","Female","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To converse with my friends and family;To get the latest news on celebrities;To be updated on current events and world issues","I feel stressed","Listening to music;Reading;Workout/ exercise","harms relationships/ lack of in-person contact;causes mental health issues;Spread of fake news/ misinformation","connecting with friends/family;Meeting others with same interests;Keeps you entertained/upbe","3-9 hours","9","Increase","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Videos;Reading Research Articles","Neutral","Every other day","Social Medias","So far, about the pandemic, none","CDC, News Channels"
"2021/06/10 9:27:34 AM AST","Yes","8th grade","Queens","Female","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To converse with my friends and family;To make new friends;To get updates on the lives of my friends and family;To be updated on current events and world issues","I feel stressed;I am worried about school;I am worried I don't get enough movement;I'm often sleepy/tired during the daytime;I'm constantly unmotivated or feeling down","Social Media;Reading","causes distractions/addictions","easier to find news/info;self-expression;learning new things","3-9 hours","7","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Youtube Videos;Documentaries;Reading Research Articles;Virtual Contests/ competitions/ hackathons","They feel I use technology more than I should/ more than I did before","whenever the news gets delivered to my feed","Social Medias","Like how covid was air transmitted","I don't really use anything"
"2021/06/10 9:27:43 AM AST","Yes","8th grade","Queens","Female","Hispanic or Latino;European","About 4-8 hours a day","Increased","Social Medias (Instagram, Facebook, Twitter, TikTok, etc.);Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To make new friends;To get the latest news on celebrities;To be updated on current events and world issues;Mostly because I'm bored and dont have anything else to do","I feel stressed;I feel lonely;I am worried I don't get enough movement;I'm worried about what I consume;I'm constantly unmotivated or feeling down","Social Media;Reading;Workout/ exercise","Bullying/rumor spread;causes distractions/addictions;Spread of fake news/ misinformation","Keeps you entertained/upbe;self-expression;getting support from others","3-9 hours","10","Increase","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments","They feel I use technology more than I should/ more than I did before","Once a week","I don't check the news","There have been a couple of times when the paparazzi's have filmed celebrities and accused them of doing something. It would cause everyone to turn on the celebrities, and basically bully them constantly, and then a couple of weeks later (when the truth came out). Everybody would start switching up and apologizing.  ","google"
"2021/06/10 9:28:00 AM AST","Yes","8th grade","Queens","Female","Hispanic or Latino","About 1-3 hours a day","Increased","Streaming Services (YouTube, Netflix, Hulu, TikTok, etc.);Messaging Services (iMessage, WhatsApp, Messenger, etc.);Gaming Services (video games, Ps4, Xbox, etc.);Reading Services (iBook, Kindle, Wattpad, etc.)","To be updated on current events and world issues","I feel stressed;I feel lonely;I am worried about school;I am worried I don't get enough movement;I'm worried about what I consume;I'm constantly unmotivated or feeling down","Listening to music;Watching TV;Clubs/ Extracurricular Activites;Reading;Workout/ exercise","unrealistic views;causes distractions/addictions;causes mental health issues","easier to find news/info;Meeting others with same interests;learning new things","3-9 hours","4","Decrease","Online Classes/ Attending tutoring sessions/ review sessions;General school assignments;Reading Research Articles","Neutral","Every other day","Newspapers (online or paper)","I haven't seen any that I know of.","The New York Times website"
"2021/06/10 9:28:25 AM AST","Yes","8th grade","Queens","Female","South-East Asian (India, Bangladesh, etc.)","About 4-8 hours a day","Increased","Gaming Services (video games, Ps4, Xbox, etc.)","To converse with my friends and family;To be updated on current events and world issues;For academic purposes","I don't feel any of these.","I don't experience any of the issues stated in the previous question","Bullying/rumor spread;harms relationships/ lack of in-person contact;unrealistic views;causes mental health issues;Spread of fake news/ misinformation","connecting with friends/family;easier to find news/info;self-expression;learning new things","3-9 hours","7","Stayed the same","Online Classes/ Attending tutoring sessions/ review sessions;Youtube Videos;Documentaries","Neutral","Once a week","News Channels","n/a","instagram for general info, check with twitter, go to youtube for confirmation"
